Sp;minimum_frequent_depth;maximum_frequent_depth;minimum_depth;maximum_depth
Odontogammarus caeculus Tachteew, 1999;420;490;420;490
Odontogammarus calcaratus (Dybowsky, 1874);100;200;5;554
Odontogammarus pulcherrimus Dorogostaisky, 1930;100;200;20;565
Odontogammarus improvisus Dorogostaisky, 1930;6;170;6;170
Odontogammarus brevipes Dorogostaisky, 1930;3.5;70;3.5;70
Odontogammarus margaritaceus (Dybowsky, 1874);500;1300;150;1300
Odontogammarus bekmanae Tachteew, 1999;475;1300;475;1300
Odontogammarus demianowiczi Dorogostaisky, 1930;200;400;200;400
Odontogammarus korotnewi (Sowinsky, 1915);28;246;28;246
Ommatogammarus albinus (Dybowsky, 1874);200;1641;47;1641
Abludogammarus flavus (Dybowsky, 1874);100;600;2.5;1313
Pretiositus carneolus (Dybowsky, 1874);500;1320;35;1320
Pretiositus amethystinus (Dybowsky, 1874);500;1313;35;1313
Pretiositus melanophthalmus (Bazikalova, 1945);150;300;150;300
Macropereiopus flori (Dybowsky, 1874);8;1371;8;1371
Macropereiopus albulus (Dybowsky, 1874);40;1615;4;1615
Macropereiopus parvus Bazikalova, 1945;30;61;4;1340
Macropereiopus leucophthalmus (Sowinsky, 1915);60;200;22;1350
Macropereiopus wagneri Sowinsky, 1915;50;200;5;1380
Macropereiopus dagarskii Sowinsky, 1915;30;50;7;778
Macropereiopus grandimanus Bazikalova, 1945;13;1450;13;1450
Macropereiopus mirus Bazikalova, 1975;11;39;11;39
Metapallasea galinae Bazikalova, 1959;5;71;5;71
Koshovia mirabilis Bazikalova, 1975;32;69;32;69
Leptostenus westschevi Tachteew, 2021;15;38;15;38
Leptostenus solontsovii Tachteew, 2021;78;120;78;120
Eulimnogammarus tchernykhi Moskalenko, Neretina & Yampolsky, 2020;15;20;15;20
Eulimnogammarus etingovae Moskalenko, Neretina & Yampolsky, 2020;10;20;10;20
